,date,name,value,lastValue
267,2020-02-23,pizza,75,80
268,2020-02-23,salad,11,10
269,2020-02-23,taco,20,19
270,2020-02-24,beer,9,15
271,2020-02-24,pasta,7,9
272,2020-02-24,pizza,45,75
273,2020-02-24,salad,9,11
274,2020-02-24,taco,14,20
275,2020-02-25,beer,10,9
276,2020-02-25,pasta,7,7
277,2020-02-25,pizza,44,45
278,2020-02-25,salad,8,9
279,2020-02-25,taco,15,14
280,2020-02-26,beer,10,10
281,2020-02-26,pasta,7,7
282,2020-02-26,pizza,48,44
283,2020-02-26,salad,9,8
284,2020-02-26,taco,14,15
285,2020-02-27,beer,11,10
286,2020-02-27,pasta,6,7
287,2020-02-27,pizza,51,48
288,2020-02-27,salad,8,9
289,2020-02-27,taco,16,14
290,2020-02-28,beer,14,11
291,2020-02-28,pasta,6,6
292,2020-02-28,pizza,65,51
293,2020-02-28,salad,8,8
294,2020-02-28,taco,15,16
295,2020-02-29,beer,19,14
296,2020-02-29,pasta,8,6
297,2020-02-29,pizza,88,65
298,2020-02-29,salad,9,8
299,2020-02-29,taco,19,15
300,2020-03-01,beer,16,19
301,2020-03-01,pasta,9,8
302,2020-03-01,pizza,79,88
303,2020-03-01,salad,11,9
304,2020-03-01,taco,19,19
305,2020-03-02,beer,11,16
306,2020-03-02,pasta,6,9
307,2020-03-02,pizza,46,79
308,2020-03-02,salad,9,11
309,2020-03-02,taco,14,19
310,2020-03-03,beer,11,11
311,2020-03-03,pasta,6,6
312,2020-03-03,pizza,44,46
313,2020-03-03,salad,8,9
314,2020-03-03,taco,15,14
315,2020-03-04,beer,11,11
316,2020-03-04,pasta,6,6
317,2020-03-04,pizza,44,44
318,2020-03-04,salad,8,8
319,2020-03-04,taco,14,15
320,2020-03-05,beer,11,11
321,2020-03-05,pasta,6,6
322,2020-03-05,pizza,48,44
323,2020-03-05,salad,8,8
324,2020-03-05,taco,15,14
325,2020-03-06,beer,14,11
326,2020-03-06,pasta,6,6
327,2020-03-06,pizza,64,48
328,2020-03-06,salad,8,8
329,2020-03-06,taco,15,15
330,2020-03-07,beer,18,14
331,2020-03-07,pasta,8,6
332,2020-03-07,pizza,81,64
333,2020-03-07,salad,10,8
334,2020-03-07,taco,18,15
335,2020-03-08,beer,18,18
336,2020-03-08,pasta,9,8
337,2020-03-08,pizza,76,81
338,2020-03-08,salad,11,10
339,2020-03-08,taco,18,18
340,2020-03-09,beer,13,18
341,2020-03-09,pasta,6,9
342,2020-03-09,pizza,46,76
343,2020-03-09,salad,9,11
344,2020-03-09,taco,13,18
345,2020-03-10,beer,12,13
346,2020-03-10,pasta,7,6
347,2020-03-10,pizza,43,46
348,2020-03-10,salad,8,9
349,2020-03-10,taco,14,13
350,2020-03-11,beer,12,12
351,2020-03-11,pasta,6,7
352,2020-03-11,pizza,44,43
353,2020-03-11,salad,8,8
354,2020-03-11,taco,13,14
355,2020-03-12,beer,12,12
356,2020-03-12,pasta,5,6
357,2020-03-12,pizza,43,44
358,2020-03-12,salad,6,8
359,2020-03-12,taco,12,13
360,2020-03-13,beer,14,12
361,2020-03-13,pasta,6,5
362,2020-03-13,pizza,57,43
363,2020-03-13,salad,7,6
364,2020-03-13,taco,12,12
365,2020-03-14,beer,16,14
366,2020-03-14,pasta,8,6
367,2020-03-14,pizza,77,57
368,2020-03-14,salad,8,7
369,2020-03-14,taco,15,12
370,2020-03-15,beer,15,16
371,2020-03-15,pasta,9,8
372,2020-03-15,pizza,64,77
373,2020-03-15,salad,8,8
374,2020-03-15,taco,16,15
375,2020-03-16,beer,10,15
376,2020-03-16,pasta,6,9
377,2020-03-16,pizza,43,64
378,2020-03-16,salad,6,8
379,2020-03-16,taco,12,16
380,2020-03-17,beer,12,10
381,2020-03-17,pasta,6,6
382,2020-03-17,pizza,43,43
383,2020-03-17,salad,6,6
384,2020-03-17,taco,12,12
385,2020-03-18,beer,11,12
386,2020-03-18,pasta,7,6
387,2020-03-18,pizza,47,43
388,2020-03-18,salad,6,6
389,2020-03-18,taco,12,12
390,2020-03-19,beer,10,11
391,2020-03-19,pasta,8,7
392,2020-03-19,pizza,49,47
393,2020-03-19,salad,7,6
394,2020-03-19,taco,13,12
395,2020-03-20,beer,12,10
396,2020-03-20,pasta,8,8
397,2020-03-20,pizza,67,49
398,2020-03-20,salad,6,7
399,2020-03-20,taco,13,13
400,2020-03-21,beer,14,12
401,2020-03-21,pasta,9,8
402,2020-03-21,pizza,73,67
403,2020-03-21,salad,8,6
404,2020-03-21,taco,15,13
405,2020-03-22,beer,14,14
406,2020-03-22,pasta,10,9
407,2020-03-22,pizza,65,73
408,2020-03-22,salad,9,8
409,2020-03-22,taco,15,15
410,2020-03-23,beer,10,14
411,2020-03-23,pasta,8,10
412,2020-03-23,pizza,45,65
413,2020-03-23,salad,7,9
414,2020-03-23,taco,12,15
415,2020-03-24,beer,10,10
416,2020-03-24,pasta,8,8
417,2020-03-24,pizza,48,45
418,2020-03-24,salad,8,7
419,2020-03-24,taco,13,12
420,2020-03-25,beer,10,10
421,2020-03-25,pasta,8,8
422,2020-03-25,pizza,48,48
423,2020-03-25,salad,7,8
424,2020-03-25,taco,13,13
425,2020-03-26,beer,11,10
426,2020-03-26,pasta,8,8
427,2020-03-26,pizza,53,48
428,2020-03-26,salad,8,7
429,2020-03-26,taco,13,13
430,2020-03-27,beer,13,11
431,2020-03-27,pasta,9,8
432,2020-03-27,pizza,75,53
433,2020-03-27,salad,8,8
434,2020-03-27,taco,14,13
435,2020-03-28,beer,15,13
436,2020-03-28,pasta,11,9
437,2020-03-28,pizza,84,75
438,2020-03-28,salad,10,8
439,2020-03-28,taco,17,14
440,2020-03-29,beer,15,15
441,2020-03-29,pasta,11,11
442,2020-03-29,pizza,70,84
443,2020-03-29,salad,10,10
444,2020-03-29,taco,16,17
445,2020-03-30,beer,11,15
446,2020-03-30,pasta,8,11
447,2020-03-30,pizza,47,70
448,2020-03-30,salad,8,10
449,2020-03-30,taco,13,16
450,2020-03-31,beer,10,11
451,2020-03-31,pasta,9,8
452,2020-03-31,pizza,49,47
453,2020-03-31,salad,8,8
454,2020-03-31,taco,23,13
455,2020-04-01,beer,10,10
456,2020-04-01,pasta,8,9
457,2020-04-01,pizza,51,49
458,2020-04-01,salad,8,8
459,2020-04-01,taco,15,23
460,2020-04-02,beer,11,10
461,2020-04-02,pasta,8,8
462,2020-04-02,pizza,52,51
463,2020-04-02,salad,8,8
464,2020-04-02,taco,13,15
465,2020-04-03,beer,14,11
466,2020-04-03,pasta,9,8
467,2020-04-03,pizza,76,52
468,2020-04-03,salad,8,8
469,2020-04-03,taco,13,13
470,2020-04-04,beer,17,14
471,2020-04-04,pasta,11,9
472,2020-04-04,pizza,85,76
473,2020-04-04,salad,10,8
474,2020-04-04,taco,16,13
475,2020-04-05,beer,15,17
476,2020-04-05,pasta,11,11
477,2020-04-05,pizza,73,85
478,2020-04-05,salad,11,10
479,2020-04-05,taco,16,16
480,2020-04-06,beer,10,15
481,2020-04-06,pasta,9,11
482,2020-04-06,pizza,47,73
483,2020-04-06,salad,9,11
484,2020-04-06,taco,13,16
485,2020-04-07,beer,14,10
486,2020-04-07,pasta,9,9
487,2020-04-07,pizza,49,47
488,2020-04-07,salad,10,9
489,2020-04-07,taco,18,13
490,2020-04-08,beer,12,14
491,2020-04-08,pasta,9,9
492,2020-04-08,pizza,52,49
493,2020-04-08,salad,10,10
494,2020-04-08,taco,15,18
495,2020-04-09,beer,12,12
496,2020-04-09,pasta,9,9
497,2020-04-09,pizza,56,52
498,2020-04-09,salad,10,10
499,2020-04-09,taco,14,15
500,2020-04-10,beer,14,12
501,2020-04-10,pasta,10,9
502,2020-04-10,pizza,79,56
503,2020-04-10,salad,11,10
504,2020-04-10,taco,15,14
505,2020-04-11,beer,15,14
506,2020-04-11,pasta,11,10
507,2020-04-11,pizza,82,79
508,2020-04-11,salad,16,11
509,2020-04-11,taco,17,15
510,2020-04-12,beer,14,15
511,2020-04-12,pasta,10,11
512,2020-04-12,pizza,64,82
513,2020-04-12,salad,17,16
514,2020-04-12,taco,16,17
515,2020-04-13,beer,10,14
516,2020-04-13,pasta,9,10
517,2020-04-13,pizza,48,64
518,2020-04-13,salad,10,17
519,2020-04-13,taco,13,16
520,2020-04-14,beer,11,10
521,2020-04-14,pasta,9,9
522,2020-04-14,pizza,53,48
523,2020-04-14,salad,10,10
524,2020-04-14,taco,18,13
525,2020-04-15,beer,11,11
526,2020-04-15,pasta,9,9
527,2020-04-15,pizza,59,53
528,2020-04-15,salad,9,10
529,2020-04-15,taco,15,18
530,2020-04-16,beer,11,11
531,2020-04-16,pasta,9,9
532,2020-04-16,pizza,63,59
533,2020-04-16,salad,9,9
534,2020-04-16,taco,15,15
535,2020-04-17,beer,13,11
536,2020-04-17,pasta,9,9
537,2020-04-17,pizza,87,63
538,2020-04-17,salad,10,9
539,2020-04-17,taco,17,15
540,2020-04-18,beer,16,13
541,2020-04-18,pasta,11,9
542,2020-04-18,pizza,91,87
543,2020-04-18,salad,11,10
544,2020-04-18,taco,18,17
545,2020-04-19,beer,14,16
546,2020-04-19,pasta,11,11
547,2020-04-19,pizza,78,91
548,2020-04-19,salad,13,11
549,2020-04-19,taco,18,18
550,2020-04-20,beer,10,14
551,2020-04-20,pasta,9,11
552,2020-04-20,pizza,53,78
553,2020-04-20,salad,10,13
554,2020-04-20,taco,14,18
555,2020-04-21,beer,10,10
556,2020-04-21,pasta,9,9
557,2020-04-21,pizza,53,53
558,2020-04-21,salad,10,10
559,2020-04-21,taco,19,14
560,2020-04-22,beer,10,10
561,2020-04-22,pasta,9,9
562,2020-04-22,pizza,55,53
563,2020-04-22,salad,10,10
564,2020-04-22,taco,17,19
565,2020-04-23,beer,11,10
566,2020-04-23,pasta,9,9
567,2020-04-23,pizza,57,55
568,2020-04-23,salad,10,10
569,2020-04-23,taco,15,17
570,2020-04-24,beer,12,11
571,2020-04-24,pasta,9,9
572,2020-04-24,pizza,77,57
573,2020-04-24,salad,10,10
574,2020-04-24,taco,16,15
575,2020-04-25,beer,15,12
576,2020-04-25,pasta,10,9
577,2020-04-25,pizza,86,77
578,2020-04-25,salad,12,10
579,2020-04-25,taco,20,16
580,2020-04-26,beer,14,15
581,2020-04-26,pasta,11,10
582,2020-04-26,pizza,75,86
583,2020-04-26,salad,13,12
584,2020-04-26,taco,19,20
585,2020-04-27,beer,10,14
586,2020-04-27,pasta,8,11
587,2020-04-27,pizza,50,75
588,2020-04-27,salad,10,13
589,2020-04-27,taco,15,19
590,2020-04-28,beer,10,10
591,2020-04-28,pasta,9,8
592,2020-04-28,pizza,54,50
593,2020-04-28,salad,11,10
594,2020-04-28,taco,20,15
595,2020-04-29,beer,11,10
596,2020-04-29,pasta,9,9
597,2020-04-29,pizza,57,54
598,2020-04-29,salad,10,11
599,2020-04-29,taco,17,20
600,2020-04-30,beer,11,11
601,2020-04-30,pasta,8,9
602,2020-04-30,pizza,59,57
603,2020-04-30,salad,10,10
604,2020-04-30,taco,16,17
605,2020-05-01,beer,13,11
606,2020-05-01,pasta,8,8
607,2020-05-01,pizza,79,59
608,2020-05-01,salad,10,10
609,2020-05-01,taco,18,16
610,2020-05-02,beer,17,13
611,2020-05-02,pasta,10,8
612,2020-05-02,pizza,88,79
613,2020-05-02,salad,14,10
614,2020-05-02,taco,23,18
615,2020-05-03,beer,15,17
616,2020-05-03,pasta,10,10
617,2020-05-03,pizza,79,88
618,2020-05-03,salad,15,14
619,2020-05-03,taco,22,23
620,2020-05-04,beer,10,15
621,2020-05-04,pasta,8,10
622,2020-05-04,pizza,51,79
623,2020-05-04,salad,11,15
624,2020-05-04,taco,19,22
625,2020-05-05,beer,11,10
626,2020-05-05,pasta,7,8
627,2020-05-05,pizza,48,51
628,2020-05-05,salad,10,11
629,2020-05-05,taco,49,19
630,2020-05-06,beer,10,11
631,2020-05-06,pasta,8,7
632,2020-05-06,pizza,52,48
633,2020-05-06,salad,10,10
634,2020-05-06,taco,24,49
635,2020-05-07,beer,11,10
636,2020-05-07,pasta,8,8
637,2020-05-07,pizza,56,52
638,2020-05-07,salad,11,10
639,2020-05-07,taco,16,24
640,2020-05-08,beer,12,11
641,2020-05-08,pasta,9,8
642,2020-05-08,pizza,76,56
643,2020-05-08,salad,11,11
644,2020-05-08,taco,17,16
645,2020-05-09,beer,15,12
646,2020-05-09,pasta,11,9
647,2020-05-09,pizza,84,76
648,2020-05-09,salad,15,11
649,2020-05-09,taco,19,17
650,2020-05-10,beer,15,15
651,2020-05-10,pasta,12,11
652,2020-05-10,pizza,84,84
653,2020-05-10,salad,15,15
654,2020-05-10,taco,19,19
655,2020-05-11,beer,10,15
656,2020-05-11,pasta,8,12
657,2020-05-11,pizza,49,84
658,2020-05-11,salad,10,15
659,2020-05-11,taco,14,19
660,2020-05-12,beer,10,10
661,2020-05-12,pasta,8,8
662,2020-05-12,pizza,50,49
663,2020-05-12,salad,10,10
664,2020-05-12,taco,17,14
665,2020-05-13,beer,11,10
666,2020-05-13,pasta,8,8
667,2020-05-13,pizza,54,50
668,2020-05-13,salad,10,10
669,2020-05-13,taco,16,17
670,2020-05-14,beer,11,11
671,2020-05-14,pasta,8,8
672,2020-05-14,pizza,55,54
673,2020-05-14,salad,10,10
674,2020-05-14,taco,16,16
675,2020-05-15,beer,12,11
676,2020-05-15,pasta,8,8
677,2020-05-15,pizza,78,55
678,2020-05-15,salad,11,10
679,2020-05-15,taco,17,16
680,2020-05-16,beer,17,12
681,2020-05-16,pasta,9,8
682,2020-05-16,pizza,87,78
683,2020-05-16,salad,14,11
684,2020-05-16,taco,21,17
685,2020-05-17,beer,15,17
686,2020-05-17,pasta,10,9
687,2020-05-17,pizza,80,87
688,2020-05-17,salad,15,14
689,2020-05-17,taco,20,21
690,2020-05-18,beer,10,15
691,2020-05-18,pasta,8,10
692,2020-05-18,pizza,53,80
693,2020-05-18,salad,11,15
694,2020-05-18,taco,15,20
695,2020-05-19,beer,10,10
696,2020-05-19,pasta,8,8
697,2020-05-19,pizza,51,53
698,2020-05-19,salad,11,11
699,2020-05-19,taco,17,15
700,2020-05-20,beer,11,10
701,2020-05-20,pasta,8,8
702,2020-05-20,pizza,57,51
703,2020-05-20,salad,11,11
704,2020-05-20,taco,17,17
705,2020-05-21,beer,11,11
706,2020-05-21,pasta,8,8
707,2020-05-21,pizza,59,57
708,2020-05-21,salad,12,11
709,2020-05-21,taco,17,17
710,2020-05-22,beer,14,11
711,2020-05-22,pasta,8,8
712,2020-05-22,pizza,81,59
713,2020-05-22,salad,13,12
714,2020-05-22,taco,18,17
715,2020-05-23,beer,17,14
716,2020-05-23,pasta,10,8
717,2020-05-23,pizza,85,81
718,2020-05-23,salad,18,13
719,2020-05-23,taco,21,18
720,2020-05-24,beer,18,17
721,2020-05-24,pasta,10,10
722,2020-05-24,pizza,79,85
723,2020-05-24,salad,22,18
724,2020-05-24,taco,20,21
725,2020-05-25,beer,16,18
726,2020-05-25,pasta,10,10
727,2020-05-25,pizza,68,79
728,2020-05-25,salad,22,22
729,2020-05-25,taco,18,20
730,2020-05-26,beer,11,16
731,2020-05-26,pasta,7,10
732,2020-05-26,pizza,53,68
733,2020-05-26,salad,12,22
734,2020-05-26,taco,17,18
735,2020-05-27,beer,11,11
736,2020-05-27,pasta,8,7
737,2020-05-27,pizza,55,53
738,2020-05-27,salad,12,12
739,2020-05-27,taco,16,17
740,2020-05-28,beer,11,11
741,2020-05-28,pasta,8,8
742,2020-05-28,pizza,57,55
743,2020-05-28,salad,12,12
744,2020-05-28,taco,16,16
745,2020-05-29,beer,13,11
746,2020-05-29,pasta,8,8
747,2020-05-29,pizza,73,57
748,2020-05-29,salad,12,12
749,2020-05-29,taco,17,16
750,2020-05-30,beer,15,13
751,2020-05-30,pasta,9,8
752,2020-05-30,pizza,84,73
753,2020-05-30,salad,14,12
754,2020-05-30,taco,20,17
755,2020-05-31,beer,14,15
756,2020-05-31,pasta,9,9
757,2020-05-31,pizza,78,84
758,2020-05-31,salad,15,14
759,2020-05-31,taco,20,20
760,2020-06-01,beer,9,14
761,2020-06-01,pasta,7,9
762,2020-06-01,pizza,52,78
763,2020-06-01,salad,10,15
764,2020-06-01,taco,15,20
765,2020-06-02,beer,9,9
766,2020-06-02,pasta,7,7
767,2020-06-02,pizza,53,52
768,2020-06-02,salad,11,10
769,2020-06-02,taco,18,15
770,2020-06-03,beer,10,9
771,2020-06-03,pasta,7,7
772,2020-06-03,pizza,55,53
773,2020-06-03,salad,12,11
774,2020-06-03,taco,16,18
775,2020-06-04,beer,11,10
776,2020-06-04,pasta,7,7
777,2020-06-04,pizza,58,55
778,2020-06-04,salad,12,12
779,2020-06-04,taco,17,16
780,2020-06-05,beer,13,11
781,2020-06-05,pasta,7,7
782,2020-06-05,pizza,74,58
783,2020-06-05,salad,12,12
784,2020-06-05,taco,17,17
785,2020-06-06,beer,16,13
786,2020-06-06,pasta,9,7
787,2020-06-06,pizza,82,74
788,2020-06-06,salad,15,12
789,2020-06-06,taco,20,17
790,2020-06-07,beer,16,16
