date,name,value,lastValue
2/15/20,Stimulus,0,0
2/15/20,Trump,9,9
2/15/20,Weather,53,55
2/16/20,Biden,1,1
2/16/20,Coronavirus,12,12
2/16/20,George Floyd,0,0
2/16/20,Pizza,21,27
2/16/20,Police,4,4
2/16/20,Protest,0,0
2/16/20,Stimulus,0,0
2/16/20,Trump,12,9
2/16/20,Weather,54,53
2/17/20,Biden,1,1
2/17/20,Coronavirus,12,12
2/17/20,George Floyd,0,0
2/17/20,Pizza,15,21
2/17/20,Police,5,4
2/17/20,Protest,0,0
2/17/20,Stimulus,0,0
2/17/20,Trump,9,12
2/17/20,Weather,54,54
2/18/20,Biden,1,1
2/18/20,Coronavirus,12,12
2/18/20,George Floyd,0,0
2/18/20,Pizza,12,15
2/18/20,Police,5,5
2/18/20,Protest,0,0
2/18/20,Stimulus,0,0
2/18/20,Trump,9,9
2/18/20,Weather,56,54
2/19/20,Biden,1,1
2/19/20,Coronavirus,9,12
2/19/20,George Floyd,0,0
2/19/20,Pizza,12,12
2/19/20,Police,5,5
2/19/20,Protest,0,0
2/19/20,Stimulus,0,0
2/19/20,Trump,12,9
2/19/20,Weather,56,56
2/20/20,Biden,2,1
2/20/20,Coronavirus,9,9
2/20/20,George Floyd,0,0
2/20/20,Pizza,15,12
2/20/20,Police,5,5
2/20/20,Protest,0,0
2/20/20,Stimulus,0,0
2/20/20,Trump,12,12
2/20/20,Weather,65,56
2/21/20,Biden,1,2
2/21/20,Coronavirus,9,9
2/21/20,George Floyd,0,0
2/21/20,Pizza,18,15
2/21/20,Police,5,5
2/21/20,Protest,0,0
2/21/20,Stimulus,0,0
2/21/20,Trump,12,12
2/21/20,Weather,56,65
2/22/20,Biden,1,1
2/22/20,Coronavirus,12,9
2/22/20,George Floyd,0,0
2/22/20,Pizza,24,18
2/22/20,Police,5,5
2/22/20,Protest,0,0
2/22/20,Stimulus,0,0
2/22/20,Trump,9,12
2/22/20,Weather,60,56
2/23/20,Biden,1,1
2/23/20,Coronavirus,15,12
2/23/20,George Floyd,0,0
2/23/20,Pizza,21,24
2/23/20,Police,4,5
2/23/20,Protest,0,0
2/23/20,Stimulus,0,0
2/23/20,Trump,9,9
2/23/20,Weather,56,60
2/24/20,Biden,1,1
2/24/20,Coronavirus,21,15
2/24/20,George Floyd,0,0
2/24/20,Pizza,12,21
2/24/20,Police,5,4
2/24/20,Protest,0,0
2/24/20,Stimulus,0,0
2/24/20,Trump,9,9
2/24/20,Weather,59,56
2/25/20,Biden,1,1
2/25/20,Coronavirus,30,21
2/25/20,George Floyd,0,0
2/25/20,Pizza,12,12
2/25/20,Police,5,5
2/25/20,Protest,0,0
2/25/20,Stimulus,0,0
2/25/20,Trump,9,9
2/25/20,Weather,58,59
2/26/20,Biden,2,1
2/26/20,Coronavirus,47,30
2/26/20,George Floyd,0,0
2/26/20,Pizza,12,12
2/26/20,Police,5,5
2/26/20,Protest,0,0
2/26/20,Stimulus,0,0
2/26/20,Trump,9,9
2/26/20,Weather,57,58
2/27/20,Biden,2,2
2/27/20,Coronavirus,56,47
2/27/20,George Floyd,0,0
2/27/20,Pizza,15,12
2/27/20,Police,5,5
2/27/20,Protest,0,0
2/27/20,Stimulus,0,0
2/27/20,Trump,9,9
2/27/20,Weather,56,57
2/28/20,Biden,1,2
2/28/20,Coronavirus,53,56
2/28/20,George Floyd,0,0
2/28/20,Pizza,18,15
2/28/20,Police,5,5
2/28/20,Protest,0,0
2/28/20,Stimulus,0,0
2/28/20,Trump,9,9
2/28/20,Weather,51,56
2/29/20,Biden,1,1
2/29/20,Coronavirus,59,53
2/29/20,George Floyd,0,0
2/29/20,Pizza,24,18
2/29/20,Police,5,5
2/29/20,Protest,0,0
2/29/20,Stimulus,0,0
2/29/20,Trump,12,9
2/29/20,Weather,51,51
3/1/20,Biden,5,1
3/1/20,Coronavirus,50,59
3/1/20,George Floyd,0,0
3/1/20,Pizza,21,24
3/1/20,Police,4,5
3/1/20,Protest,0,0
3/1/20,Stimulus,0,0
3/1/20,Trump,9,12
3/1/20,Weather,57,51
3/2/20,Biden,4,5
3/2/20,Coronavirus,74,50
3/2/20,George Floyd,0,0
3/2/20,Pizza,12,21
3/2/20,Police,5,4
3/2/20,Protest,0,0
3/2/20,Stimulus,0,0
3/2/20,Trump,9,9
3/2/20,Weather,57,57
3/3/20,Biden,7,4
3/3/20,Coronavirus,71,74
3/3/20,George Floyd,0,0
3/3/20,Pizza,12,12
3/3/20,Police,5,5
3/3/20,Protest,0,0
3/3/20,Stimulus,0,0
3/3/20,Trump,9,9
3/3/20,Weather,55,57
3/4/20,Biden,21,7
3/4/20,Coronavirus,71,71
3/4/20,George Floyd,0,0
3/4/20,Pizza,12,12
3/4/20,Police,4,5
3/4/20,Protest,1,0
3/4/20,Stimulus,0,0
3/4/20,Trump,12,9
3/4/20,Weather,53,55
3/5/20,Biden,10,21
3/5/20,Coronavirus,83,71
3/5/20,George Floyd,0,0
3/5/20,Pizza,15,12
3/5/20,Police,5,4
3/5/20,Protest,0,1
3/5/20,Stimulus,0,0
3/5/20,Trump,9,12
3/5/20,Weather,53,53
3/6/20,Biden,5,10
3/6/20,Coronavirus,86,83
3/6/20,George Floyd,0,0
3/6/20,Pizza,18,15
3/6/20,Police,5,5
3/6/20,Protest,0,0
3/6/20,Stimulus,0,0
3/6/20,Trump,9,9
3/6/20,Weather,55,53
3/7/20,Biden,4,5
3/7/20,Coronavirus,91,86
3/7/20,George Floyd,0,0
3/7/20,Pizza,24,18
3/7/20,Police,4,5
3/7/20,Protest,0,0
3/7/20,Stimulus,0,0
3/7/20,Trump,9,9
3/7/20,Weather,56,55
3/8/20,Biden,5,4
3/8/20,Coronavirus,86,91
3/8/20,George Floyd,0,0
3/8/20,Pizza,21,24
3/8/20,Police,4,4
3/8/20,Protest,0,0
3/8/20,Stimulus,0,0
3/8/20,Trump,9,9
3/8/20,Weather,58,56
3/9/20,Biden,4,5
3/9/20,Coronavirus,106,86
3/9/20,George Floyd,0,0
3/9/20,Pizza,12,21
3/9/20,Police,5,4
3/9/20,Protest,0,0
3/9/20,Stimulus,0,0
3/9/20,Trump,12,9
3/9/20,Weather,61,58
3/10/20,Biden,6,4
3/10/20,Coronavirus,127,106
3/10/20,George Floyd,0,0
3/10/20,Pizza,12,12
3/10/20,Police,5,5
3/10/20,Protest,0,0
3/10/20,Stimulus,0,0
3/10/20,Trump,12,12
3/10/20,Weather,60,61
3/11/20,Biden,11,6
3/11/20,Coronavirus,162,127
3/11/20,George Floyd,0,0
3/11/20,Pizza,12,12
3/11/20,Police,5,5
3/11/20,Protest,0,0
3/11/20,Stimulus,0,0
3/11/20,Trump,12,12
3/11/20,Weather,55,60
3/12/20,Biden,4,11
3/12/20,Coronavirus,283,162
3/12/20,George Floyd,0,0
3/12/20,Pizza,12,12
3/12/20,Police,4,5
3/12/20,Protest,0,0
3/12/20,Stimulus,0,0
3/12/20,Trump,30,12
3/12/20,Weather,57,55
3/13/20,Biden,3,4
3/13/20,Coronavirus,260,283
3/13/20,George Floyd,0,0
3/13/20,Pizza,15,12
3/13/20,Police,4,4
3/13/20,Protest,0,0
3/13/20,Stimulus,0,0
3/13/20,Trump,38,30
3/13/20,Weather,60,57
3/14/20,Biden,2,3
3/14/20,Coronavirus,230,260
3/14/20,George Floyd,0,0
3/14/20,Pizza,21,15
3/14/20,Police,4,4
3/14/20,Protest,0,0
3/14/20,Stimulus,0,0
3/14/20,Trump,24,38
3/14/20,Weather,60,60
3/15/20,Biden,3,2
3/15/20,Coronavirus,295,230
3/15/20,George Floyd,0,0
3/15/20,Pizza,18,21
3/15/20,Police,4,4
3/15/20,Protest,0,0
3/15/20,Stimulus,0,0
3/15/20,Trump,18,24
3/15/20,Weather,52,60
3/16/20,Biden,7,3
3/16/20,Coronavirus,283,295
3/16/20,George Floyd,0,0
3/16/20,Pizza,12,18
3/16/20,Police,4,4
3/16/20,Protest,0,0
3/16/20,Stimulus,0,0
3/16/20,Trump,24,18
3/16/20,Weather,48,52
3/17/20,Biden,2,7
3/17/20,Coronavirus,251,283
3/17/20,George Floyd,0,0
3/17/20,Pizza,12,12
3/17/20,Police,4,4
3/17/20,Protest,0,0
3/17/20,Stimulus,6,0
3/17/20,Trump,21,24
3/17/20,Weather,45,48
3/18/20,Biden,3,2
3/18/20,Coronavirus,230,251
3/18/20,George Floyd,0,0
3/18/20,Pizza,12,12
3/18/20,Police,4,4
3/18/20,Protest,0,0
3/18/20,Stimulus,12,6
3/18/20,Trump,27,21
3/18/20,Weather,48,45
3/19/20,Biden,2,3
3/19/20,Coronavirus,227,230
3/19/20,George Floyd,0,0
3/19/20,Pizza,15,12
3/19/20,Police,4,4
3/19/20,Protest,0,0
3/19/20,Stimulus,12,12
3/19/20,Trump,24,27
3/19/20,Weather,52,48
3/20/20,Biden,1,2
3/20/20,Coronavirus,215,227
3/20/20,George Floyd,0,0
3/20/20,Pizza,18,15
3/20/20,Police,4,4
3/20/20,Protest,0,0
3/20/20,Stimulus,12,12
3/20/20,Trump,21,24
3/20/20,Weather,50,52
3/21/20,Biden,2,1
3/21/20,Coronavirus,212,215
3/21/20,George Floyd,0,0
3/21/20,Pizza,21,18
3/21/20,Police,4,4
3/21/20,Protest,0,0
3/21/20,Stimulus,12,12
3/21/20,Trump,21,21
3/21/20,Weather,47,50
3/22/20,Biden,2,2
3/22/20,Coronavirus,221,212
3/22/20,George Floyd,0,0
3/22/20,Pizza,18,21
3/22/20,Police,4,4
3/22/20,Protest,0,0
3/22/20,Stimulus,12,12
3/22/20,Trump,21,21
3/22/20,Weather,50,47
3/23/20,Biden,2,2
3/23/20,Coronavirus,204,221
3/23/20,George Floyd,0,0
3/23/20,Pizza,12,18
3/23/20,Police,4,4
3/23/20,Protest,0,0
3/23/20,Stimulus,18,12
3/23/20,Trump,18,21
3/23/20,Weather,47,50
3/24/20,Biden,2,2
3/24/20,Coronavirus,186,204
3/24/20,George Floyd,0,0
3/24/20,Pizza,15,12
3/24/20,Police,5,4
3/24/20,Protest,0,0
3/24/20,Stimulus,21,18
3/24/20,Trump,21,18
3/24/20,Weather,43,47
3/25/20,Biden,2,2
3/25/20,Coronavirus,174,186
3/25/20,George Floyd,0,0
3/25/20,Pizza,12,15
3/25/20,Police,4,5
3/25/20,Protest,0,0
3/25/20,Stimulus,44,21
3/25/20,Trump,18,21
3/25/20,Weather,43,43
3/26/20,Biden,3,2
3/26/20,Coronavirus,174,174
3/26/20,George Floyd,0,0
3/26/20,Pizza,15,12
3/26/20,Police,4,4
3/26/20,Protest,0,0
3/26/20,Stimulus,35,44
3/26/20,Trump,15,18
3/26/20,Weather,42,43
3/27/20,Biden,3,3
3/27/20,Coronavirus,171,174
3/27/20,George Floyd,0,0
3/27/20,Pizza,21,15
3/27/20,Police,4,4
3/27/20,Protest,0,0
3/27/20,Stimulus,30,35
3/27/20,Trump,18,15
3/27/20,Weather,41,42
3/28/20,Biden,3,3
3/28/20,Coronavirus,165,171
3/28/20,George Floyd,0,0
3/28/20,Pizza,24,21
3/28/20,Police,4,4
3/28/20,Protest,0,0
3/28/20,Stimulus,27,30
3/28/20,Trump,18,18
3/28/20,Weather,52,41
3/29/20,Biden,2,3
3/29/20,Coronavirus,162,165
3/29/20,George Floyd,0,0
3/29/20,Pizza,18,24
3/29/20,Police,4,4
3/29/20,Protest,0,0
3/29/20,Stimulus,18,27
3/29/20,Trump,18,18
3/29/20,Weather,52,52
3/30/20,Biden,1,2
3/30/20,Coronavirus,148,162
3/30/20,George Floyd,0,0
3/30/20,Pizza,12,18
3/30/20,Police,5,4
3/30/20,Protest,0,0
3/30/20,Stimulus,18,18
3/30/20,Trump,15,18
3/30/20,Weather,42,52
3/31/20,Biden,1,1
3/31/20,Coronavirus,139,148
3/31/20,George Floyd,0,0
3/31/20,Pizza,12,12
3/31/20,Police,4,5
3/31/20,Protest,0,0
3/31/20,Stimulus,18,18
3/31/20,Trump,12,15
3/31/20,Weather,41,42
4/1/20,Biden,1,1
4/1/20,Coronavirus,139,139
4/1/20,George Floyd,0,0
4/1/20,Pizza,15,12
4/1/20,Police,4,4
4/1/20,Protest,0,0
4/1/20,Stimulus,18,18
4/1/20,Trump,12,12
4/1/20,Weather,38,41
4/2/20,Biden,1,1
4/2/20,Coronavirus,130,139
4/2/20,George Floyd,0,0
4/2/20,Pizza,15,15
4/2/20,Police,4,4
4/2/20,Protest,0,0
4/2/20,Stimulus,18,18
4/2/20,Trump,12,12
4/2/20,Weather,42,38
4/3/20,Biden,1,1
4/3/20,Coronavirus,162,130
4/3/20,George Floyd,0,0
4/3/20,Pizza,21,15
4/3/20,Police,4,4
4/3/20,Protest,0,0
4/3/20,Stimulus,18,18
4/3/20,Trump,12,12
4/3/20,Weather,43,42
4/4/20,Biden,1,1
4/4/20,Coronavirus,168,162
4/4/20,George Floyd,0,0
4/4/20,Pizza,24,21
4/4/20,Police,4,4
4/4/20,Protest,0,0
4/4/20,Stimulus,12,18
4/4/20,Trump,12,12
4/4/20,Weather,47,43
4/5/20,Biden,1,1
4/5/20,Coronavirus,174,168
4/5/20,George Floyd,0,0
4/5/20,Pizza,21,24
4/5/20,Police,4,4
4/5/20,Protest,0,0
4/5/20,Stimulus,15,12
4/5/20,Trump,12,12
4/5/20,Weather,48,47
4/6/20,Biden,1,1
4/6/20,Coronavirus,171,174
4/6/20,George Floyd,0,0
4/6/20,Pizza,12,21
4/6/20,Police,4,4
4/6/20,Protest,0,0
4/6/20,Stimulus,18,15
4/6/20,Trump,12,12
4/6/20,Weather,45,48
4/7/20,Biden,1,1
4/7/20,Coronavirus,159,171
4/7/20,George Floyd,0,0
4/7/20,Pizza,15,12
4/7/20,Police,4,4
4/7/20,Protest,0,0
4/7/20,Stimulus,21,18
4/7/20,Trump,12,12
4/7/20,Weather,47,45
4/8/20,Biden,5,1
4/8/20,Coronavirus,148,159
4/8/20,George Floyd,0,0
4/8/20,Pizza,15,15
4/8/20,Police,4,4
4/8/20,Protest,0,0
4/8/20,Stimulus,21,21
4/8/20,Trump,12,12
4/8/20,Weather,54,47
4/9/20,Biden,4,5
4/9/20,Coronavirus,142,148
4/9/20,George Floyd,0,0
4/9/20,Pizza,15,15
4/9/20,Police,4,4
4/9/20,Protest,0,0
4/9/20,Stimulus,30,21
4/9/20,Trump,12,12
4/9/20,Weather,58,54
4/10/20,Biden,3,4
4/10/20,Coronavirus,133,142
4/10/20,George Floyd,0,0
4/10/20,Pizza,21,15
4/10/20,Police,4,4
4/10/20,Protest,0,0
4/10/20,Stimulus,32,30
4/10/20,Trump,12,12
4/10/20,Weather,49,58
4/11/20,Biden,2,3
4/11/20,Coronavirus,103,133
4/11/20,George Floyd,0,0
4/11/20,Pizza,24,21
4/11/20,Police,4,4
4/11/20,Protest,0,0
4/11/20,Stimulus,32,32
4/11/20,Trump,12,12
4/11/20,Weather,54,49
4/12/20,Biden,2,2
4/12/20,Coronavirus,86,103
4/12/20,George Floyd,0,0
4/12/20,Pizza,18,24
4/12/20,Police,4,4
4/12/20,Protest,0,0
4/12/20,Stimulus,27,32
4/12/20,Trump,12,12
4/12/20,Weather,70,54
4/13/20,Biden,3,2
4/13/20,Coronavirus,121,86
4/13/20,George Floyd,0,0
4/13/20,Pizza,12,18
4/13/20,Police,4,4
4/13/20,Protest,0,0
4/13/20,Stimulus,50,27
4/13/20,Trump,15,12
4/13/20,Weather,68,70
4/14/20,Biden,4,3
4/14/20,Coronavirus,127,121
4/14/20,George Floyd,0,0
4/14/20,Pizza,15,12
4/14/20,Police,4,4
4/14/20,Protest,0,0
4/14/20,Stimulus,53,50
4/14/20,Trump,18,15
4/14/20,Weather,41,68
