date,name,value,lastValue
2/21/20,Weather,19,0
2/21/20,Stimulus,0,4
2/21/20,Coronavirus,3,3
2/21/20,Trump,4,5
2/21/20,Pizza,6,22
2/22/20,Coronavirus,4,19
2/22/20,Pizza,7,0
2/22/20,Trump,3,3
2/22/20,Stimulus,0,4
2/22/20,Weather,20,6
2/23/20,Weather,19,4
2/23/20,Pizza,7,7
2/23/20,Trump,3,3
2/23/20,Stimulus,0,0
2/23/20,Coronavirus,5,20
2/24/20,Weather,20,19
2/24/20,Pizza,4,7
2/24/20,Trump,3,3
2/24/20,Coronavirus,7,0
2/24/20,Stimulus,0,5
2/25/20,Pizza,4,20
2/25/20,Stimulus,0,4
2/25/20,Coronavirus,10,3
2/25/20,Trump,3,7
2/25/20,Weather,19,0
2/26/20,Coronavirus,16,4
2/26/20,Pizza,4,0
2/26/20,Weather,20,10
2/26/20,Stimulus,0,3
2/26/20,Trump,3,19
2/27/20,Stimulus,0,16
2/27/20,Coronavirus,19,4
2/27/20,Weather,19,20
2/27/20,Pizza,5,0
2/27/20,Trump,3,3
2/28/20,Trump,3,0
2/28/20,Pizza,6,19
2/28/20,Stimulus,0,19
2/28/20,Coronavirus,18,5
2/28/20,Weather,17,3
2/29/20,Pizza,8,3
2/29/20,Weather,17,6
2/29/20,Trump,4,0
2/29/20,Stimulus,0,18
2/29/20,Coronavirus,19,17
3/1/20,Trump,3,8
3/1/20,Pizza,7,17
3/1/20,Stimulus,0,4
3/1/20,Coronavirus,17,0
3/1/20,Weather,20,19
3/2/20,Weather,19,3
3/2/20,Trump,3,7
3/2/20,Pizza,4,0
3/2/20,Stimulus,0,17
3/2/20,Coronavirus,25,20
3/3/20,Weather,19,19
3/3/20,Trump,3,3
3/3/20,Stimulus,0,4
3/3/20,Pizza,4,0
3/3/20,Coronavirus,25,25
3/4/20,Trump,4,19
3/4/20,Stimulus,0,3
3/4/20,Pizza,4,0
3/4/20,Coronavirus,23,4
3/4/20,Weather,18,25
3/5/20,Weather,18,4
3/5/20,Trump,3,0
3/5/20,Coronavirus,28,4
3/5/20,Pizza,5,23
3/5/20,Stimulus,0,18
3/6/20,Pizza,6,18
3/6/20,Weather,18,3
3/6/20,Coronavirus,30,28
3/6/20,Stimulus,0,5
3/6/20,Trump,3,0
3/7/20,Weather,19,6
3/7/20,Stimulus,0,18
3/7/20,Coronavirus,31,30
3/7/20,Pizza,8,0
3/7/20,Trump,3,3
3/8/20,Trump,3,19
3/8/20,Coronavirus,29,0
3/8/20,Stimulus,0,31
3/8/20,Pizza,7,8
3/8/20,Weather,19,3
3/9/20,Stimulus,0,3
3/9/20,Coronavirus,37,29
3/9/20,Trump,4,0
3/9/20,Weather,21,7
3/9/20,Pizza,4,19
3/10/20,Coronavirus,44,0
3/10/20,Trump,4,37
3/10/20,Stimulus,0,4
3/10/20,Weather,21,21
3/10/20,Pizza,4,4
3/11/20,Coronavirus,54,44
3/11/20,Weather,19,4
3/11/20,Stimulus,0,0
3/11/20,Trump,4,21
3/11/20,Pizza,4,4
3/12/20,Coronavirus,95,54
3/12/20,Stimulus,0,19
3/12/20,Trump,10,0
3/12/20,Weather,19,4
3/12/20,Pizza,4,4
3/13/20,Pizza,5,95
3/13/20,Stimulus,0,0
3/13/20,Coronavirus,85,10
3/13/20,Trump,13,19
3/13/20,Weather,20,4
3/14/20,Weather,20,5
3/14/20,Pizza,7,0
3/14/20,Trump,8,85
3/14/20,Stimulus,0,13
3/14/20,Coronavirus,78,20
3/15/20,Stimulus,0,20
3/15/20,Weather,18,7
3/15/20,Coronavirus,100,8
3/15/20,Pizza,6,0
3/15/20,Trump,6,78
3/16/20,Stimulus,0,0
3/16/20,Weather,16,18
3/16/20,Coronavirus,96,100
3/16/20,Trump,8,6
3/16/20,Pizza,4,6
3/17/20,Weather,15,0
3/17/20,Trump,7,16
3/17/20,Coronavirus,83,96
3/17/20,Pizza,4,8
3/17/20,Stimulus,2,4
3/18/20,Trump,9,15
3/18/20,Coronavirus,78,7
3/18/20,Stimulus,4,83
3/18/20,Pizza,4,4
3/18/20,Weather,16,2
3/19/20,Stimulus,4,9
3/19/20,Trump,8,78
3/19/20,Coronavirus,76,4
3/19/20,Pizza,5,4
3/19/20,Weather,18,16
3/20/20,Trump,7,4
3/20/20,Coronavirus,75,8
3/20/20,Pizza,6,76
3/20/20,Stimulus,4,5
3/20/20,Weather,17,18
3/21/20,Weather,16,7
3/21/20,Trump,7,75
3/21/20,Pizza,7,6
3/21/20,Stimulus,4,4
3/21/20,Coronavirus,73,17
3/22/20,Trump,7,16
3/22/20,Stimulus,4,7
3/22/20,Coronavirus,77,7
3/22/20,Pizza,6,4
3/22/20,Weather,17,73
3/23/20,Stimulus,6,7
3/23/20,Pizza,4,4
3/23/20,Weather,16,77
3/23/20,Coronavirus,70,6
3/23/20,Trump,6,17
3/24/20,Pizza,4,6
3/24/20,Weather,15,4
3/24/20,Trump,7,16
3/24/20,Coronavirus,63,70
3/24/20,Stimulus,6,6
3/25/20,Trump,6,4
3/25/20,Coronavirus,60,15
3/25/20,Pizza,4,7
3/25/20,Weather,14,63
3/25/20,Stimulus,15,6
3/26/20,Pizza,5,6
3/26/20,Coronavirus,59,60
3/26/20,Stimulus,12,4
3/26/20,Trump,5,14
3/26/20,Weather,15,15
3/27/20,Stimulus,10,5
3/27/20,Pizza,7,59
3/27/20,Weather,14,12
3/27/20,Trump,6,5
3/27/20,Coronavirus,59,15
3/28/20,Stimulus,9,10
3/28/20,Weather,18,7
3/28/20,Coronavirus,56,14
3/28/20,Trump,6,6
3/28/20,Pizza,8,59
3/29/20,Coronavirus,55,9
3/29/20,Weather,18,18
3/29/20,Trump,6,56
3/29/20,Stimulus,6,6
3/29/20,Pizza,7,8
3/30/20,Weather,14,55
3/30/20,Trump,5,18
3/30/20,Pizza,4,6
3/30/20,Stimulus,6,6
3/30/20,Coronavirus,49,7
3/31/20,Pizza,5,14
3/31/20,Trump,4,5
3/31/20,Stimulus,6,4
3/31/20,Coronavirus,47,6
3/31/20,Weather,14,49
4/1/20,Pizza,5,5
4/1/20,Coronavirus,47,4
4/1/20,Weather,13,6
4/1/20,Stimulus,6,47
4/1/20,Trump,4,14
4/2/20,Pizza,5,5
4/2/20,Stimulus,6,47
4/2/20,Trump,4,13
4/2/20,Coronavirus,45,6
4/2/20,Weather,14,4
4/3/20,Pizza,7,5
4/3/20,Trump,4,6
4/3/20,Stimulus,6,4
4/3/20,Weather,15,45
4/3/20,Coronavirus,55,14
4/4/20,Pizza,8,7
4/4/20,Weather,16,4
4/4/20,Trump,4,6
4/4/20,Stimulus,5,15
4/4/20,Coronavirus,58,55
4/5/20,Weather,16,8
4/5/20,Stimulus,5,16
4/5/20,Trump,4,4
4/5/20,Coronavirus,58,5
4/5/20,Pizza,7,58
4/6/20,Trump,4,16
4/6/20,Pizza,4,5
4/6/20,Weather,15,4
4/6/20,Coronavirus,58,58
4/6/20,Stimulus,6,7
4/7/20,Stimulus,7,4
4/7/20,Coronavirus,54,4
4/7/20,Weather,16,15
4/7/20,Trump,4,58
4/7/20,Pizza,5,6
4/8/20,Trump,4,7
4/8/20,Coronavirus,50,54
4/8/20,Weather,18,16
4/8/20,Pizza,5,4
4/8/20,Stimulus,7,5
4/9/20,Trump,4,4
4/9/20,Coronavirus,47,50
4/9/20,Pizza,5,18
4/9/20,Stimulus,10,5
4/9/20,Weather,19,7
4/10/20,Pizza,7,4
4/10/20,Stimulus,11,47
4/10/20,Trump,4,5
4/10/20,Coronavirus,45,10
4/10/20,Weather,16,19
4/11/20,Trump,4,7
4/11/20,Stimulus,11,11
4/11/20,Weather,18,4
4/11/20,Pizza,8,45
4/11/20,Coronavirus,36,16
4/12/20,Pizza,6,4
4/12/20,Trump,4,11
4/12/20,Weather,24,18
4/12/20,Stimulus,9,8
4/12/20,Coronavirus,30,36
4/13/20,Trump,5,6
4/13/20,Stimulus,17,4
4/13/20,Pizza,5,24
4/13/20,Weather,23,9
4/13/20,Coronavirus,40,30
4/14/20,Weather,14,5
4/14/20,Trump,6,17
4/14/20,Stimulus,19,5
4/14/20,Coronavirus,43,23
4/14/20,Pizza,5,40
4/15/20,Trump,6,14
4/15/20,Stimulus,36,6
4/15/20,Coronavirus,41,19
4/15/20,Pizza,5,43
4/15/20,Weather,13,5
4/16/20,Stimulus,26,6
4/16/20,Weather,14,36
4/16/20,Trump,5,41
4/16/20,Pizza,6,5
4/16/20,Coronavirus,39,13
4/17/20,Weather,15,26
4/17/20,Coronavirus,40,14
4/17/20,Stimulus,18,5
4/17/20,Trump,5,6
4/17/20,Pizza,8,39
4/18/20,Pizza,8,15
4/18/20,Coronavirus,41,40
4/18/20,Stimulus,14,18
4/18/20,Trump,4,5
4/18/20,Weather,18,8
4/19/20,Pizza,7,8
4/19/20,Trump,5,41
4/19/20,Stimulus,10,14
4/19/20,Coronavirus,30,4
4/19/20,Weather,19,18
4/20/20,Weather,16,7
4/20/20,Trump,4,5
4/20/20,Stimulus,12,10
4/20/20,Coronavirus,35,30
4/20/20,Pizza,5,19
4/21/20,Trump,5,16
4/21/20,Stimulus,12,4
4/21/20,Pizza,5,12
4/21/20,Weather,15,35
4/21/20,Coronavirus,37,5
4/22/20,Pizza,5,5
4/22/20,Trump,4,12
4/22/20,Weather,16,5
4/22/20,Stimulus,12,15
4/22/20,Coronavirus,25,37
4/23/20,Pizza,5,5
4/23/20,Trump,4,4
4/23/20,Weather,17,16
4/23/20,Stimulus,11,12
4/23/20,Coronavirus,33,25
4/24/20,Trump,8,5
4/24/20,Weather,16,4
4/24/20,Stimulus,11,17
4/24/20,Pizza,7,11
4/24/20,Coronavirus,34,33
4/25/20,Coronavirus,23,8
4/25/20,Trump,6,16
4/25/20,Stimulus,9,11
4/25/20,Pizza,8,7
4/25/20,Weather,18,34
4/26/20,Pizza,7,23
4/26/20,Coronavirus,19,6
4/26/20,Stimulus,8,9
4/26/20,Trump,5,8
4/26/20,Weather,17,18
4/27/20,Weather,15,7
4/27/20,Coronavirus,20,19
4/27/20,Pizza,5,8
4/27/20,Stimulus,10,5
4/27/20,Trump,4,17
4/28/20,Coronavirus,19,15
4/28/20,Stimulus,10,20
4/28/20,Trump,4,5
4/28/20,Pizza,5,10
4/28/20,Weather,17,4
4/29/20,Trump,3,19
4/29/20,Coronavirus,18,10
4/29/20,Pizza,5,4
4/29/20,Weather,18,5
4/29/20,Stimulus,10,17
4/30/20,Trump,3,3
4/30/20,Coronavirus,16,18
4/30/20,Pizza,5,5
4/30/20,Weather,14,18
4/30/20,Stimulus,9,10
5/1/20,Coronavirus,17,3
5/1/20,Pizza,7,16
5/1/20,Weather,14,5
5/1/20,Trump,3,14
5/1/20,Stimulus,8,9
5/2/20,Stimulus,7,17
5/2/20,Coronavirus,17,7
5/2/20,Weather,15,14
5/2/20,Trump,3,3
5/2/20,Pizza,8,8
5/3/20,Trump,3,7
5/3/20,Stimulus,6,17
5/3/20,Weather,17,15
5/3/20,Coronavirus,17,3
5/3/20,Pizza,7,8
5/4/20,Pizza,5,3
5/4/20,Stimulus,8,6
5/4/20,Trump,3,17
5/4/20,Weather,16,17
5/4/20,Coronavirus,17,7
5/5/20,Trump,3,5
5/5/20,Weather,15,8
5/5/20,Coronavirus,16,3
5/5/20,Stimulus,8,16
5/5/20,Pizza,5,17
5/6/20,Coronavirus,16,3
5/6/20,Stimulus,7,15
5/6/20,Trump,3,16
5/6/20,Pizza,5,8
5/6/20,Weather,16,5
5/7/20,Coronavirus,16,16
5/7/20,Stimulus,7,7
5/7/20,Trump,3,3
5/7/20,Pizza,5,5
5/7/20,Weather,16,16
5/8/20,Stimulus,6,16
5/8/20,Trump,3,7
5/8/20,Pizza,7,3
5/8/20,Coronavirus,14,5
5/8/20,Weather,18,16
5/9/20,Weather,18,6
5/9/20,Stimulus,6,3
5/9/20,Pizza,8,7
5/9/20,Coronavirus,15,14
5/9/20,Trump,3,18
5/10/20,Coronavirus,14,18
5/10/20,Weather,18,6
5/10/20,Pizza,8,8
5/10/20,Stimulus,4,15
5/10/20,Trump,3,3
5/11/20,Trump,3,14
5/11/20,Weather,17,18
5/11/20,Coronavirus,16,8
5/11/20,Pizza,5,4
5/11/20,Stimulus,7,3
5/12/20,Weather,16,3
5/12/20,Pizza,5,17
5/12/20,Stimulus,8,16
5/12/20,Coronavirus,15,5
5/12/20,Trump,4,7
5/13/20,Stimulus,9,16
5/13/20,Weather,17,5
5/13/20,Coronavirus,15,8
5/13/20,Trump,3,15
5/13/20,Pizza,5,4
5/14/20,Stimulus,6,9
5/14/20,Weather,18,17
5/14/20,Coronavirus,14,15
5/14/20,Trump,3,3
5/14/20,Pizza,5,5
5/15/20,Weather,20,6
5/15/20,Coronavirus,14,18
5/15/20,Trump,3,14
5/15/20,Stimulus,8,3
5/15/20,Pizza,7,5
5/16/20,Pizza,8,20
5/16/20,Weather,21,14
5/16/20,Trump,3,3
5/16/20,Stimulus,11,8
5/16/20,Coronavirus,13,7
5/17/20,Stimulus,7,8
5/17/20,Pizza,7,21
5/17/20,Trump,3,3
5/17/20,Weather,21,11
5/17/20,Coronavirus,14,13
5/18/20,Coronavirus,13,7
5/18/20,Pizza,5,7
5/18/20,Stimulus,8,3
5/18/20,Trump,3,21
5/18/20,Weather,20,14
5/19/20,Stimulus,8,13
5/19/20,Coronavirus,12,5
5/19/20,Weather,17,8
5/19/20,Pizza,5,3
5/19/20,Trump,4,20
5/20/20,Weather,17,8
5/20/20,Pizza,5,12
5/20/20,Stimulus,7,17
5/20/20,Coronavirus,11,5
5/20/20,Trump,4,4
5/21/20,Weather,19,17
5/21/20,Pizza,6,5
5/21/20,Stimulus,6,7
5/21/20,Coronavirus,11,11
5/21/20,Trump,3,4
5/22/20,Stimulus,5,19
5/22/20,Pizza,7,6
5/22/20,Coronavirus,10,6
5/22/20,Weather,21,11
5/22/20,Trump,4,3
5/23/20,Trump,3,5
5/23/20,Weather,25,7
5/23/20,Stimulus,5,10
5/23/20,Pizza,8,21
5/23/20,Coronavirus,10,4
5/24/20,Pizza,8,3
5/24/20,Coronavirus,11,25
5/24/20,Weather,25,5
